contest_id,problem_id,total_count,gnu_cpp,ms_cpp,gnu_c,gnu_cpp0x,gnu_cpp11,gnu_c11,gnu_cpp14,gnu_cpp_diagnostics,clangpp_17_diagnostics,gnu_cpp17
993,b,544,61,4,0,0,141,0,221,0,0,117
993,f,22,1,0,0,0,5,0,12,0,0,4
993,a,836,121,19,2,0,213,0,330,0,0,151
1042,d,2661,0,15,0,0,918,1,1035,0,0,692
1042,c,1833,0,7,0,0,678,1,710,0,2,435
1042,b,4819,0,68,0,0,1685,13,1931,0,2,1120
1042,e,700,0,1,0,0,289,0,263,0,0,147
1042,a,5639,0,131,0,0,1947,61,2197,0,5,1298
1042,f,742,0,1,0,0,337,0,263,0,0,141
160,a,21908,7278,1435,1461,262,5447,549,4416,18,14,1028
999,d,1856,213,37,3,0,439,1,742,0,0,421
999,c,6024,699,92,58,0,1312,15,2735,2,1,1110
999,a,8094,974,210,195,0,1754,50,3466,6,3,1436
999,f,1044,134,9,4,0,263,0,407,0,0,227
999,b,6882,865,138,93,0,1480,27,3032,1,0,1246
999,e,2424,230,22,7,0,584,1,1092,1,0,487
894,c,2610,404,33,11,0,733,1,1365,6,1,56
894,d,873,84,4,0,0,307,0,467,0,0,11
894,e,909,73,1,2,0,380,0,431,0,0,22
894,b,2775,498,48,13,0,777,4,1371,5,1,58
894,a,9489,1932,262,184,0,2407,77,4176,29,3,419
900,a,6745,1149,201,181,0,1606,61,3391,0,0,156
900,b,4785,789,110,56,0,1194,19,2446,9,1,161
900,e,577,50,6,0,0,191,0,318,0,0,12
900,d,1294,159,15,2,0,376,1,681,0,0,60
900,c,2518,311,28,7,0,698,6,1374,3,0,91
977,d,5858,878,128,11,0,1481,12,2365,0,2,981
977,c,7794,1155,146,25,0,1927,12,3225,0,2,1302
977,a,13224,1845,741,321,0,3099,400,4586,41,16,2175
977,f,3853,444,41,2,0,1007,0,1624,0,0,735
977,b,8781,1274,225,92,0,2159,43,3564,9,6,1409
977,e,4709,523,53,6,0,1245,2,2023,0,0,857
899,a,5984,1314,126,118,0,1468,38,2751,1,2,166
899,f,946,109,4,0,0,308,0,506,0,0,19
899,b,1325,195,16,11,0,376,1,726,0,0,0
899,e,1189,149,11,3,0,357,0,622,0,0,47
899,d,1558,215,11,5,0,404,1,875,3,0,44
899,c,4344,740,72,42,0,1127,14,2196,4,0,149
520,a,17070,6523,934,973,811,3716,359,3017,29,5,703
520,b,13568,5046,610,257,641,3360,61,2903,10,4,676
994,d,784,65,4,3,0,208,0,356,0,0,148
994,c,1736,140,16,6,0,442,2,791,0,0,339
994,a,6164,610,105,125,0,1379,55,2789,7,3,1091
994,f,67,8,1,0,0,15,0,25,0,1,17
994,b,3504,323,22,6,0,814,5,1709,0,0,625
994,e,411,38,3,1,0,85,0,187,0,0,97
1032,f,38,0,0,0,0,13,0,13,0,0,12
1032,a,1226,0,72,0,0,288,25,343,0,1,497
1032,e,112,0,0,0,0,34,0,51,0,0,27
1032,b,862,0,35,0,0,206,15,251,0,0,355
1032,g,21,0,0,0,0,9,0,8,0,0,4
1032,c,296,0,2,0,0,73,2,80,0,1,138
1032,d,265,0,4,0,0,60,1,89,0,0,111
59,a,19460,6603,1406,1413,156,4089,611,4081,23,8,1070
1045,e,26,0,0,0,0,10,0,11,0,0,5
1045,b,200,0,0,0,0,88,0,65,0,0,47
1045,h,137,0,0,0,0,64,0,47,0,0,26
1045,f,31,0,0,0,0,20,0,8,0,0,3
1045,a,96,0,0,0,0,47,0,28,0,0,21
1045,i,464,0,2,0,0,168,1,178,0,0,115
1045,c,196,0,0,0,0,73,0,68,0,0,55
1045,d,189,0,1,0,0,90,0,63,0,0,35
1045,j,69,0,0,0,0,30,0,27,0,0,12
1045,g,258,0,0,0,0,115,0,79,0,0,64
110,a,22029,8240,1610,1574,244,4733,473,4159,35,18,943
189,a,16651,6185,781,354,253,4237,67,3980,8,3,783
1038,a,7154,0,117,0,0,1964,80,3321,0,7,1665
1038,f,160,0,0,0,0,77,0,49,0,0,34
1038,b,6407,0,92,0,0,1750,42,2995,0,2,1526
1038,e,553,0,3,0,0,249,0,166,0,0,135
1038,d,3648,0,47,0,0,1075,7,1632,0,0,887
1038,c,5320,0,62,0,0,1497,8,2487,0,1,1265
907,c,1849,210,24,3,0,536,1,1046,1,0,28
907,d,234,16,8,0,0,78,0,124,0,0,8
907,f,63,11,1,0,0,15,0,34,0,0,2
907,a,3692,670,88,63,0,939,55,1794,18,0,65
907,e,248,17,0,0,0,84,0,144,0,0,3
907,b,2646,380,51,24,0,733,10,1409,5,0,34
893,a,5699,927,168,183,0,1425,28,2834,29,0,105
893,f,737,93,2,0,0,255,0,364,0,1,22
893,b,5244,873,127,98,0,1344,22,2638,25,0,117
893,e,1385,177,9,4,0,389,4,735,0,0,67
893,d,1621,225,20,6,0,480,2,844,0,0,44
893,c,5573,833,114,8,0,1464,4,2867,0,1,282
427,a,12981,5368,963,754,354,2534,182,2296,0,4,526
122,a,25851,9586,1823,1998,268,5613,819,4555,29,21,1139
1077,a,7210,0,357,0,0,1930,268,2667,0,12,1976
1077,f1,1146,0,17,0,0,295,1,473,0,0,360
1077,b,5962,0,264,0,0,1578,110,2275,0,5,1730
1077,f2,754,0,5,0,0,212,0,282,0,0,255
1077,e,1653,0,29,0,0,458,2,656,0,2,506
1077,d,1373,0,57,0,0,372,9,526,0,5,404
1077,c,4499,0,137,0,0,1187,41,1802,0,3,1329
1000,b,3060,316,27,9,0,726,5,1372,0,0,605
